prop_id,crop,class_code,suitability_group,suitability_score,street,suburb,state,postcode,full_address,latitude,longitude
2,Table.Wine.Grapes,318,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Tall.Fescue.Continental,12746,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Tall.Fescue.Mediterranean,8794,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Wheat,27988,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,White.Clover,11525,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
3,Barley,2604,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Blueberries..nhb.,1474,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Blueberries..shb.,2174,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Carrot.seed,2236,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Carrots,3163,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Cherries,7908,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Cocksfoot.Continental,475,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Cocksfoot.Mediterranean,2619,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Enterprise.Versatility.Index,17996,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Enterprise.Versatility.Index...Pastures,0,NA,NA,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Eucalyptus.Globulus,10843,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Eucalyptus.Nitens,9325,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Hazelnuts,13068,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Industrial.Hemp,1202,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Linseed,875,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Lucerne,3234,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Olives,6562,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Onions,4650,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Phalaris,2330,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Pinus.Radiata,1619,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Poppies,3090,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Potatoes,8698,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Pyrethrum,548,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Raspberries,3879,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Red.Clover,682,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Rye.Grass,872,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Sparkling.Wine.Grapes,10,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Strawberries,6583,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Strawberry.Clover,1024,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Table.Wine.Grapes,9,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Tall.Fescue.Continental,980,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Tall.Fescue.Mediterranean,2619,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,Wheat,3280,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
3,White.Clover,872,Unsuitable,0,120 Russells Plains Road,Rocherlea,TAS,7248,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
4,Barley,2571,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
